station_name,latitude,longitude,charging_power,total_slots,occupied_slots
"IOCL - COCO WRD, Agarkar Nagar",18.5269679,73.8655123,50,7,7
"KVR Dream vehicles, Vidya Nagar",12.51382323,75.02713173,30,5,6
"Sree Auto, BH Road Tumakuru",13.344796,77.080192,30,11,8
"IOCL COCO Chengampalli, Salem-Kochi Highway",11.213022,77.441968,30,11,9
"Hotel Vididhi, Kothagudam",16.991031,79.44047,50,7,8
"Select Cars, Hyderabad Rd - Kothirampur",18.417928,79.13639,60,10,2
"MIDAS, Muzzafarnagar",29.4585464,77.7397628,60,8,7
"MIDAS Auto, Industrial Area ",29.942456,78.144234,50,5,0
"Basudeb Auto Limited, Shanti Nagar",23.371302,85.350737,60,5,4
"Matsya Amazon Kitchens, Kurnool Rd",15.576915,77.93704,50,9,7
"Utkarsh Mototech, Assam Trunk Rd",26.164406,91.715516,30,6,0
"Hotel Grand Leela Krishna, Bhimavaram",16.5451748,81.5199403,50,7,7
"Jadhav Solar & Automotives, Badnera",20.909443,77.7522447,50,10,1
"IOCL - SUJIT AUTOMOBILES, Bangalore-Kanyakumari Road",20.92258656,78.99986387,30,8,0
"Tata Steel Car Parking, Northern Town",22.800099,86.188305,50,5,1
"Sakchi - Parking, Basant Central",22.802611,86.203633,60,6,6
"Ambagan - Parking, Jubliee Park gate",22.808483,86.198276,50,8,3
"Hotel Sanskruti , Trambakeshwar Rd",19.973146,73.68105,30,7,3
"IOCL Manjalpur, GIDC Rd Manjalpur",22.271793,73.190795,60,7,0
"RKL TML Showroom, Sec 9 GIDA",26.743642,84.263369,50,5,0
"IOCL - Citi Fuels, Virender Nagar",28.622486,77.09547,60,7,8
"SRM Motors, Vikas Nagar",26.900894,80.964231,60,8,3
"Shree Dev Wheels, Acharya Nagar",26.755089,82.141261,60,9,9
"IOCL - Gay Service Station, Azadpur",28.703312,77.181109,50,7,1
"Ace Kudale Cycles, Manjri  Bk",18.4957722,73.97893593,60,6,2
"Hotel Dreamland, ST Main Market Mahabaleshwar",17.92564438,73.65552014,60,10,8
"ARDEE MALL, Sec 52 Gurgaon",28.444672,77.08082,50,9,2
"Hotel Baba Ramdev, Sirohi",24.973775,72.895964,50,9,5
"ABC Autolink, NH 64 Ranoli",22.403828,73.13455,30,6,9
"Brookfield, Powai",19.11637,72.91086,30,9,3
"Brookfield, Powai",19.11644,72.90968,30,9,0
"MG Ranchi, Line Tank Road",23.371745,85.326113,60,9,8
"MG Bhubaneswar, NH 16",20.352134,85.8903743,60,7,5
"Ginger Nashik , Satpur Colony",19.991881,73.743904,30,8,9
"TML- Sterling Motors , Renuka Nagar",19.9932,73.783133,60,11,2
"IOCL Kevadia, Garudeshwar",21.885704,73.688136,50,6,4
"Satish Motors, Wanjarwadi",19.911983,75.232932,60,11,1
"Heritage Motors, Ghodbunder",19.25612,72.97145,60,9,2
"IOCL Karari Fuels, NH 44 Kishangarh",31.431348,75.620357,60,11,5
"IOCL Royal Petro, NH 44",29.731581,76.976511,60,5,5
"Sagar Motors, Sector 5 Noida",28.59093,77.31969,30,8,5
"Smile Stone Motels, Kamargaon",18.9852363,74.5760075,60,9,8
"One Awadh Centre, Gomti Nagar",26.86372513,81.01027566,30,9,5
"IOCL COCO u00e2u0080u0093 Central Jail RO, Rambagh",22.335789,73.173794,60,6,1
"IOCL - Vrindavan Fuels, Mangal Nagar,Manikbagh",22.6848351,75.8558249,30,8,5
"Chandrani Enterprises, Bogra",23.663888,87.057978,30,9,5
"SS Motogen, Barwadda",23.848551,86.441642,50,6,8
"TC Motors, Domjur",22.614383,88.273187,30,6,3
"Rangeet Auto, NH 31",26.323416,89.484913,60,8,3
"Rangeet Auto, Rumtek Road",27.305524,88.585965,50,5,4
"Rangeet Auto, Sevoke Road",26.750937,88.439995,60,10,1
"Tata Steel, Park Street",22.547449,88.349602,60,7,8
"Orange Auto, Erragadda",17.454398,78.434575,30,9,6
"Orange Auto, Karkhana",17.45848,78.5,30,10,5
"Orange Auto, Hafeezpet",17.490308,78.354536,60,5,8
"KRAFT AUTO, Bokaro Industrial Area",23.66473,86.073024,50,9,5
"Lexus Motors, New Town",22.620585,88.461154,60,9,8
"Shankar Motors, Patliputra Industrial Area",25.634199,85105514.0,30,9,3
"IOCL Drive-In, Belgachia",22.607396,88.392281,50,11,7
"Four Points By Sheraton, Tonk Road",26.8643722,75.7957703,30,10,2
"Four Points By Sheraton Hotel, Nagar Road",18.562826,73.922392,60,8,4
"Fairfield by Marriott,Gachibowli",17.423858,78.347334,30,6,5
"Fairfield by Marriott, Mahindra World City",12.730596,80.00463,30,8,7
"Four Points by Sheraton, Chennai OMR",12.875613,80.227372,50,9,6
"Fairfield by Marriott, Ashram Rd",23.0522787,72.5710882,30,6,2
"IOCL - Ruchika Service Station, Mayur Vihar",28.6034988,77.3354221,60,10,7
"Sagar Motors, Dilshad Garden",28.676246,77.31768,50,5,9
"IOCL Laxmi Narayan Petroleum, Changodar",22.9378139,72.455668,50,9,2
"IOCL Om Petroleum, Kamod",22.9247437,72.5434955,30,10,1
"IOCL Omkar Petroleum, Subhanpura",22.3216986,73.154986,30,9,9
"Lexican Motors, Matigara",26.729623,88.373903,50,9,3
"IOCL Shanthi Social Services, Singanallur",11.00269216,77.0387079,30,10,0
"Hotel Mamalla Heritage, Fisherman Colony",12.61860448,80.19400597,60,6,4
"Motel Mamalla, SH 49",12.6325138,80.1958391,50,9,7
"Pumpkin Tales, Alwarpet",13.033655,80.255285,60,10,6
"Mahati Industries limited, Shankar Sheth Road",18.4995583,73.8685639,60,6,4
"Blue Moon Highway Restaurant, Bangalore-Hyderabad Highway",15.02395,77.620628,50,8,5
"Dion Automotives, Ankuli Bye Pass Road",19.298988,84.831762,30,9,9
"Shyam Automotive, AB Road",22.6520302,75.821321,30,7,9
"IOCL - Trishul Service Station, Pimpri-Chinchwad",18.6209574,73.8299842,60,10,2
"Aavas Hotels & Resorts, NH 16 Velampalli",15.6382976,80.0167529,30,7,6
"Bahubali Motors, Transport Nagar",21.2567897,81.5594445,30,7,1
"Malik Cars, Old Bowenpally",17.478362,78.4737723,50,6,9
"Sairam Automobiles, Krishna Nagar",21.2165392,81.401487,50,10,5
"Sairam Automobiles, Light Industrial Area",21.206036,81.3418606,30,7,5
"Shankar Motors, Prem Nagar",25.2522094,87.0450289,50,7,6
"IOCL - NAVABHARAGAVA FILLING STATION, Vijayawada - Hyderabad Hwy",16.5812639,80.5263493,60,7,9
"Pacific Mall, Tagore Garden",28.6422188,77.1058913,50,9,7
"Pacific Mall, Netaji Subash Palace",28.6933409,77.1531325,30,10,2
"Pacific Mall,  Dwarka",28.5512199,77.056702,60,8,7
"Pacific Mall, Sahibabad",28.6461808,77.3207891,60,8,1
"Pacific Mall, Rajpur Road",30.3662595,78.070528,50,9,8
"Tristar Auto Agencies, RK Beach Junction",17.71241304,83.3184811,30,9,1
"Zostel, Dandeghar",17.9335258,73.8158574,30,11,3
"Rama Automobiles, Patilwada",18.99132729,73.94277954,60,7,2
"Hotel Temple View, Sai Nagar",19.7650352,74.4754592,30,10,7
"Gramps Auto, Bampada",21.497869,86.88961,30,11,7
"Jagdalpur Motors, Geedam Road",19.0657802,81.9635956,60,8,4
"Pragati Trading, NH 37",26.7470487,94.1680718,30,6,6
"Yaksh The Art People, Delhi-Jaipur Highway",27.1590851,75.9603844,50,7,3
"Oberoi Mall, Goregaon",19.1737611,72.8600172,50,5,4
"Oberoi Mall, Goregaon",19.1737611,72.8600172,30,5,0
"Parin Motors, NH8 Gondal Highway",22.225264,70.801197,30,7,6
"IOCL RO u00e2u0080u0093 Basanti Hwy, Bayarmari",22.4380501,88.763395,30,7,5
"Ashutosh Motors, near NHPC Godown",26.3123315,92.6401864,30,6,4
"Daspalla Hotels, Jubilee Hills",17.4368304,78.3983261,50,5,5
"Hotel Greenland Towers, NH 6 & 16 ",22.380721,87.365968,60,11,1
"Trupti Enterprises, Bhagabanpur Industrial Area",20.238165,85.756643,50,9,8
"Trimurti Petroleum, Panvel",18.9563188,73.1626506,60,11,3
"HP Service Center, Sola ",23.0633903,72.5317625,50,10,9
"HP Autocare , Bodakdev",23.0332201,72.5137528,30,7,1
"Daisy Motors, TML - CV, Hisar",29.1259617,75.8027817,50,6,3
"Shree Balaji Autowheels, Moradabad",28.828917,78.7328429,60,8,9
"IOCL - Tikri Gas, Delhi",28.6868847,76.9849286,60,10,4
"Manickbag automobiles, Udyambag",15.8191673,74.4937744,50,9,4
"Manickbag automobiles, Vidya Nagar",15.369541,75.119095,60,6,7
"Sonaee Veg Family Restaurant, Pune-Solapur Highway",18.487405,74.146125,60,11,7
"IOCL - Hemkund, Pasonda",28.6765653,77.341822,50,8,8
IOCL Risal Petro Delhi,28.7324265,77.1986248,50,6,1
IOCL Paul Motors Delhi,28.61986668,77.11398244,60,10,3
"Yash Motors, Chittorgarh",24.8276645,74.6272935,60,6,2
"Kaveri Auto Garage, Seelapadi",10.3811273,77.99681425,60,8,7
"Kaveri Auto Garage, Paravai Bit 1 village",9.9642326,78.0650107,30,7,8
"Key Motors, Bannerghatta Road",77.597289,12.889141,60,11,1
"The Grand Legacy, Panchgani-Mahabaleshwar Road",17.92655754,73.69586565,60,6,0
"The Grand Legacy, Panchgani-Mahabaleshwar Road",17.92655754,73.69586565,60,5,0
"Highway Grand World, Chennai-Tirupati Highway NH 716",13.29360934,79.58170947,60,7,7
"Hotel Sapthagiri Holiday Resorts,Tirupati u00e2u0080u0093 Bangalore  Highway",13.37412051,79.09210293,50,7,8
"Hotel Sapthagiri Holiday Resorts,Tirupati u00e2u0080u0093 Bangalore  Highway",13.4799438,79.1897903,30,6,8
"Hotel Artland, Old Digha Purba",21.624423,87.528599,60,10,1
"IOCL Sree Devi Prasad Services, Naamavaram",17.3736805,82.5862594,30,9,1
"Lankeswari Motors, Hatpada",18.8580983,82.5899867,30,5,1
"Nandi Food Plaza, Nalagam palli",13.2035919,78.9415658,60,10,1
"River Bay Resorts, Gautami Ghat",16.9921196,81.7735774,60,11,7
"Hotel Vivanta, Patrapada",20.240856,86.758382,60,8,2
"Morya Transport Terminus, MIDC Bhosari",18.621396,73.8384375,30,6,3
"DN Group Corporate Office, Nayapalli",20.296189,85.8040445,50,11,0
"GUGNANI AUTOCARS, Mancheswar Industrial Estate",20.3066647,85.8528189,50,6,8
"GUGNANI TYRES, Nayapalli",20.2854839,85.8093251,30,6,8
"DN Regalia Mall, Patrapada",20.240903,85.758056,30,6,4
"Trupti Automotives, Mohammed Jamalpur",20.9187324,86.2169827,60,7,6
"Trupti Automotives, Angul",20.8317557,85.2416603,60,9,5
"Sarawgi Motors, Saukuchi",26.111877,91.759799,60,8,3
"Umaid Lake Resort, Kalakho ",26.912864,76.466964,50,9,2
"Rajshree Resort, Saladwas",27.2377252,75.9485975,50,9,0
"Bravia Hotel, Vaishali Nagar",26.487745,74.6293164,30,7,7
"Dusk View Resort, near Bisalpur Dam",25.936068,75.458672,30,11,2
"Hotel Shemron, Neemrana",28.0088483,76.4639783,30,5,9
"Dakshin Motors, NH - 4",13.9241147,76.6400077,30,5,5
"IOCL - KOORAPATI SERVICE STATION, Tirupati",13.6207096,79.3828146,50,9,4
"IOCL - Sai Krupa Filling Station, SH 26",15.1462972,77.3774561,50,7,6
"IOCL - PIONEER AUTO SERVICE, Bagdogara",26.7006026,88.3293524,60,5,1
"Goyal Coal Sizing, Pendridih",22.0136612,82.0487988,60,5,5
"Mr. Lalit Jenau00e2u0080u0098s Site, Panikoili",20.9238315,86.2494284,50,10,8
"Prince Guest House & Restaurant, Transport Nagar",21.3194434,81.6372966,50,11,3
"Sasya Auto Cars, Bellari X Roads - NH 44",15.8305662,78.0179892,60,9,3
"Sasya Automotives, Near EENADU Office - NH 44",15.8498643,78.0045003,50,5,4
"HPCL - Badarpur Service Station, Gazipur",28.6197025,77.3411839,30,10,9
"Sree Gokulam Motors, Kattuppakkam",13.0417246,80.1258208,30,5,6
"Malayalam Vehicles, Aluva",10.0999671,76.3476841,60,7,6
"Malayalam Vehicles, Vytila",9.9644345,76.3184956,60,9,5
"Taj Hotels Chikmagalur, KM Road",13.3366283,75.8178783,60,10,8
"PNR Function Hall, Chennai-Ballary Highway",14.7529922,78.5550768,50,11,0
"DLF - The Crest, Sec 43",28.4438196,77.1117253,50,5,2
"The Gateway Hotel, Ambad",19.9594519,73.7591054,50,10,7
"AB Infra Limited, old MIDC",18.4159831,76.5356299,50,10,9
"Hansa Motors, Buttibori",20.9286205,79.001812,60,6,1
IOCL - Tyagi Brothers Service Station,28.6195483,77.4838183,60,7,2
IOCL - Vibhor S Station,28.7712124,78.0976854,50,7,2
IOCL - AAUI Service Station ,28.6179662,77.2487894,60,10,4
IOCL - Agarwal  Service Station,29.4118349,77.7006719,60,9,1
"Hotel Suba International, Andheri East",19.1063175,72.8603219,60,8,9
"Hotel Suba Galaxy, Andheri East",19.1142415,72.8518766,60,8,9
"Hotel Suba Palace, Fort",18.9241214,72.8328155,60,9,5
"Hotel Suba Grand, Dahej",21.7164114,72.6562979,50,11,8
"Hotel Suba Elite, Fatehganj Main Road",22.3205834,73.1883779,50,9,9
"Click Hotel, Rane Nagar",19.9625471,73.7652956,60,11,1
"Click Hotel, Raja Park",26.8923514,75.8257073,30,11,2
"Click Hotel, Cidco",19.9116134,75.348291,60,8,5
"Click Hotel, Junagadh",21.52840996,70.45845795,50,7,5
"Click Hotel, Bhuj",23.2655334,69.6786728,50,7,1
"Devarana, Delhi-Dehradun Highway",29.3313177,77.721274,50,5,4
"Roshan Motors, Shahpura",27.4914624,76.0530077,30,8,5
"Gardenia SPA & Resort, Sec 11",29.9512388,78.0759131,60,10,3
"Hotel Flora, Shivalik Nagar",29.9276885,78.0648679,30,9,1
"Misty Mountain Teyla, Peermade",9.5802797,76.9701859,30,6,2
"Click Collection, Sindhi Camp",26.9206169,75.7975173,50,7,2
"Sree Venkateswara Motors, Dasnapur",19.6560251,78.52951,30,7,0
Volltic DCS06,12.98452275,77.74323914,30,10,0
Volltic DCS01,12.85190327,77.66662247,50,6,1
Volltic DCS012,12.97720222,77.72974546,30,9,1
Volltic DCS015,12.96365147,77.70295917,50,7,6
Volltic DCS017,12.96986878,77.72521742,50,8,1
Volltic DCS02,12.94340928,77.69041467,50,10,0
Volltic DCS09,12.9472482,77.64471171,30,10,7
Volltic DCS018,15.18446555,76.66276174,30,6,7
Volltic DCS03,28.25547179,77.05044021,60,10,2
Volltic PCS01,28.40501523,77.09266673,60,8,0
Volltic DCS04,28.40596414,77.04509603,50,8,9
Volltic DCS05,28.42487691,77.03101261,60,9,5
Volltic DCS011,28.44588294,77.04060087,50,6,4
Volltic HR001,28.37480792,76.91054184,60,11,4
Volltic DCS016,17.41816383,78.34665104,60,5,0
Volltic PCS03,22.73778248,75.8612835,30,6,3
Volltic PCS04,19.12012455,72.88724762,60,8,3
Volltic DCS08,28.52360775,77.08321547,30,6,8
Volltic DCS014,28.54498268,77.39461034,30,7,0
Volltic UJ001,23.179326,75.78437678,60,5,7
BYPL Patparganj,28.6305311,77.2926978,30,8,8
DLF Gateway Charging Station,28.49807984,77.09116915,30,7,7
Shree Siddhi Vinayak Indian Oil Petrol Pump,23.04430424,72.51767735,50,10,8
COCO Vejalpur Ahmedabad,23.01303861,72.52421557,50,10,7
EESL yelahanka,13.15280614,77.56897045,50,11,2
BESCOM HSR Layout,12.911365,77.648946,60,5,4
BESCOM BTM Layout,12.916948,77.610212,30,7,7
BESCOM Murugeshpalya,12.95903244,77.66355582,60,6,8
BESCOM Indiranagar,12.964421,77.644132,50,9,8
BESCOM Katriguppe,12.926063,77.547841,30,7,5
BESCOM Byatarayanapura,12.94980783,77.54076228,50,5,0
BESCOM Corporate Office,12.97610693,77.58824006,30,9,6
BESCOM Mahadevpura,12.9947017,77.70020485,30,9,2
BESCOM Banaswadi,13.0202335,77.64092334,50,7,1
Jai Hanuman Indian Oil Petrol Pump,13.04139,77.62059,50,9,7
BESCOM Mathikere,13.037895,77.55769,50,7,7
BESCOM Yalhanka,13.095602,77.594068,30,6,9
Fuel Zone -Indian Oil Petrol Pump,13.14069,77.617988,30,7,2
IOCL AB Enterprises,12.87627,80.22709415,60,5,3
IOCL Ms Immanuel Agencies,13.03301719,80.18431324,50,7,9
IOCL Ms SRI SAI Balaji Agencies,13.07514384,80.21984698,30,9,8
EESL Chennai Metrol Alandur Station,13.00444547,80.20161257,60,8,2
EESL Saidapet Metro,13.02450612,80.22884568,50,8,4
EESL Chennai Metro Nandanam station,13.03152957,80.2399704,30,9,9
EESL Koyambedu,13.07376771,80.19493137,50,9,9
EESL Thirumangalam Metro,13.0854925,80.20160618,60,11,5
EESL Anna Nagar East station,13.08478145,80.21972007,60,7,4
EESL Chennai Egmore Metro,13.07936745,80.26146373,60,6,1
EESL High Court station,13.08738029,80.2851703,50,9,7
EESL SDA Market,28.54873377,77.19657963,50,10,8
EESL R block GK1,28.55155916,77.24469874,60,7,7
KSEBL Palarivattom,10.01921939,76.30459452,60,8,5
Mahindra first choice ,28.42061615,77.10537261,60,8,0
HAREDA EESL Panchkula,30.76862873,76.85381552,50,6,1
Nagole Metro staff Parking,17.391095,78.558504,30,8,3
Punjagutta Next Galleria Mall Parking,17.428624,78.450418,30,8,8
Hitech City Next Galleria Mall Parking,17.44798402,78.38432828,60,8,8
Miyapur Metro Parking,17.49699433,78.37194716,50,11,2
ChargeNest Bank of Baroda,22.7941,86.1838,30,8,3
TSUISL N Town Substation,22.82275277,86.18177379,60,10,5
ANERT-EESL Ernakulam Kerala,9.977005426,76.27780265,30,6,7
Masstech Controls Pvt Ltd,22.50955717,88.36672101,30,10,1
EESL Shapoorji Bus Terminus Newtown,22.56979794,88.51722683,50,10,8
EESL Tata Memorial Cancer Hospital,22.57724568,88.47966408,30,9,1
EESL Axis Mall,22.57892795,88.46050484,60,11,3
EESL New Town,22.57885907,88.45300713,50,6,5
EESL Business Club New Town,22.58558231,88.456438,60,11,4
EESL ECO Park Gate no 1 New Town,22.60315379,88.46715353,60,9,3
EESL Gate no 6 Eco Park New Town,22.60762511,88.46341447,50,8,1
EESL Gate no 4 Eco Park New Town,22.61075181,88.46672221,60,5,9
"EESL Adhoc New Central , HPCL, New town",22.61822126,88.46650934,50,5,5
KSEB electrical section Olayil,8.892999143,76.57939218,60,10,4
Vijay Securities ,19.10514321,72.8869012,30,6,7
Masstech controls Pvt ltd,19.17674569,72.94574801,50,10,4
EESL Nagpur,21.0870127,79.0636227,60,6,2
KSEB Nemom,8.453971667,77.00415034,60,10,6
PTC  IGI Airport,28.54851804,77.10435748,30,6,8
Atul Automobile Vasant Kunj,28.52290663,77.15668214,30,9,6
EV Plugin Charge Vasant Square Mall,28.52544024,77.15590041,30,7,8
EESL Malviya Nagar Delhi,28.53646664,77.21145062,30,5,6
EESL PVR Priya Delhi,28.55773691,77.1579439,30,8,1
BRPL Nehru Place,28.5495423,77.2545699,60,11,6
EESL Aurbindo Market Place,28.55177869,77.2033166,60,5,6
EESL Safderjung Enclave,28.55917249,77.19648462,30,5,8
EESL N Block GK1,28.55560464,77.23371054,50,8,2
NDSE Grid BRPL,28.86883053,77.14376226,30,11,0
EESL Dilli Haat,28.57357604,77.207152,30,9,9
EESL Sarojini Nagar Market,28.57729829,77.19690865,30,10,5
EESL Laxmi Bai Market,28.577623,77.2038986,30,5,6
Indraprastha Gas Limited Shantipath,28.58267379,77.17947959,50,10,8
EESL Charak Palika Hospital,28.58704293,77.17767714,60,5,2
EESL Yashwant Place Market,28.58556496,77.1913234,50,9,9
EESL PSOI Club,28.58664525,77.19360781,50,8,0
EESL Khanna Market 1,28.580532,77.221048,30,10,8
EESL Palika Maternity Hospital,28.583518,77.222057,50,6,3
EESL Khanna Market 2,28.584365,77.22054,30,6,9
EESL Maherchand market Delhi,28.581051,77.227075,60,10,6
EESL Jor Bagh Market,28.588117,77.217564,50,10,3
EESL Lodhi Garden,28.590402,77.220192,50,6,1
BSES Hazrat Nizamuddin,28.5885055,77.2570236,60,6,8
EESL Malcha Marg Market,28.601809,77.186432,60,10,7
EESL Khan Market,28.600324,77.226883,60,5,3
EESL Prithviraj Market,28.600735,77.226277,50,9,8
EESL Hotel Claridges,28.599477,77.215583,60,7,9
EESL Hotel Claridges,28.601201,77.215975,30,6,9
EESL Talkatora Stadium,28.62576517,77.19489108,60,5,7
EESL Talkatora Garden,28.62394449,77.19509853,60,9,0
EESL Press Club,28.61743816,77.21362374,60,7,3
EESL Chelmsford Club,28.61919904,77.21252935,30,10,9
EESL Akashwani Bhawan,28.62237102,77.21148694,60,5,5
EESL Sansad Marg,28.62463712,77.21405159,30,10,8
EESL Bharat Sanchar Bhawan,28.62433889,77.21983712,60,7,9
EESL Fab India,28.62772522,77.21977647,60,5,6
EESL ICICI Bank Janpath,28.62891677,77.21975289,60,8,0
EESL FICCI Chowk,28.62703859,77.23189591,30,5,4
EESL Jain Bhawan,28.6340764,77.20743317,30,10,9
EESL Barakhamba,28.62981766,77.22595347,60,10,6
EESL Gopal Das Building,28.63143715,77.22343991,60,6,8
EESL HP Petrol Pump,28.63195905,77.22212172,30,5,8
"EESL Block M, CP",28.63314358,77.22298998,50,9,3
EESL Shanker Market,28.63382667,77.22352744,50,7,7
EESL KTM,28.63372677,77.22193874,50,6,8
EESL M Block,28.63385213,77.2218576,30,11,5
EESL Snow White,28.63410545,77.22086228,60,7,6
EESL Croma,28.63418123,77.22131977,30,11,7
EESL Ferns n Petal,28.63457602,77.22062451,60,7,7
EESL Van Heusen,28.63296432,77.21796241,50,11,5
EESL Block B,28.6319879,77.21694388,60,10,6
EESL PVR Plaza,28.63518078,77.21960047,50,8,3
EESL Block H,28.63455142,77.21791736,60,7,7
EESL Iqbal Bros,28.6339199,77.21740165,60,5,6
EESL Block A,28.63259875,77.21833827,30,11,8
EV Plugin Charge Cross River Mall,28.65740137,77.30219421,50,8,3
EESL Adwant Chowk Noida,28.49920006,77.41280883,60,9,0
ESSL SPCI Noida,28.544704,77.327263,30,10,6
ESSL Sector 50 Market,28.57088871,77.36212105,60,10,6
EESL Sector 51 Noida Afinity Salon,28.5774085,77.36097525,50,11,8
EESL Ganga Shopping Complex Noida,28.56789299,77.33526717,50,6,5
EESL Kirti Mann Plaza Noida,28.57299555,77.34050954,60,6,2
EESL RTO Office Noida,28.58764829,77.35208677,30,7,0
EESL Shopprix Mall Noida,28.59717534,77.36480344,50,6,9
EESL Opp Sasta Sundar Hospital Sector 58 Noida,28.60488569,77.35958439,50,7,7
EESL HCL Sector 8 Noida,28.59505075,77.33041905,50,11,5
EESL Tata Advance Systems Noida,28.5961692,77.32663,50,5,0
EESL Jain air Travels Sector 2 Noida,28.58486471,77.31503159,60,9,7
EESL Alka Cinema Noida,28.58260686,77.31284358,50,11,0
EESL Electronic City Metro Station,28.626475,77.375142,60,7,2
"EESL H- Block Market, Haldiram",28.6281915,77.375303,30,10,9
EESL Prayas Bhawan Naya Raipur,21.163948,81.788547,60,8,6
Anert -EESL Sangamukham Kerala,8.481360724,76.91248155,30,11,5
KSEBL Viyyur,10.56044924,76.21714424,50,7,3
ANERT EESL thycaucd ,8.492852084,76.95801444,30,9,6
ANERT Zivah EV charger,8.50884848,76.94622254,30,6,8
EESL Mantralaya Naya Raipur,21.16012192,81.79515321,50,10,9
TS Transco Vidyut soudha,17.41406061,78.45778047,30,10,5
TSIPARD ,17.31694482,78.40246655,30,7,6
HPCL Autocare Sajgaon,18.79320299,73.29699392,60,11,1
Lifeon Industries,19.06895357,73.02251015,60,6,2
Relux Experience Centre (ABS e-auto & Charger),13.00777749,80.20730884,50,6,1
Hotel Aishwarya Bhavan (Safa Electric),12.24034498,79.66228159,30,10,4
Sihla Energy Sihla Energy,10.73477485,76.04854399,30,10,2
Ammayii Hotel & Resorts (PKS Charging Station),12.23639376,79.08960088,60,7,0
AARGO CSC MINTO ROAD,28.63547,77.2213,50,11,8
AARGO GOLDEN GALAXY HOTEL,28.288075,77.295116,30,11,0
AARGO ASLI PAPPU DHABA,27.832687,77.418785,60,10,5
Hemank Auto Parts,18.621902,73.82497,50,11,2
"HPCL autocare,Sajgaon",18.793453,73.297219,30,8,2
Hotel swagat INN,21.30157137,72.95378153,60,10,9
MH|MUMBAI|POWAI#HIRANANDANI GARDENS,19.11999443,72.9141036,50,11,3
MH|TALASARI|HOTEL SAHYADRI,20.22117727,72.88122971,50,7,6
"GJ|NAVSARI|NH 8,GRID ROAD",20.94457359,72.962844,30,7,7
"HONEST RESTAURANT NH8,MIYAGAM,MIYAGAM KARJAN,GUJARAT",22.02415767,73.11753277,60,8,1
BESCOM HSR LAYOUT,12.91162361,77.64899678,30,5,2
BESCOM BTM LAYOUT,12.91895366,77.61247565,30,8,6
BESCOM KATRIGUPPE,12.93068034,77.57662739,50,7,1
BESCOM BYATARAYANAPURA,12.9499757,77.540718,30,8,2
BESCOM MURUGESHPALAYA,12.95898377,77.66440273,50,10,8
BESCOM INDIRANAGAR,12.96495904,77.64423453,30,10,5
BBMP CORPORATION OFFICE,13.02425398,77.53671856,60,9,1
SHIVAJINAGAR TTMC,13.06689523,77.44430974,30,8,2
BESCOM BANASWADI,13.02043003,77.64093356,60,6,7
BESCOM MAHADEVAPURA,12.99493599,77.69924534,50,10,8
BESCOM YALHANKA,13.09596479,77.59452594,50,7,0
BESCOM JALAHALLI,13.05335357,77.54322724,30,7,6
BESCOM MATHIKERE,13.03823943,77.55775104,60,9,0
BESCOM -PEENYA SRS O&M,13.03211103,77.52748284,30,5,6
EESL High court station,13.088249,80.285359,60,7,0
EESL High court station,13.088249,80.285359,60,11,5
EESL Chennai Egmore metro,13.079097,80.261538,60,6,2
EESL Chennai Egmore metro,13.079097,80.261538,50,7,0
EESL Saidapet Metro station,13.0237,80.2282,60,10,1
EESL Tirumangalam Metro station,13.0853,80.2016,30,8,6
EESL Thirumangalam Metro,13.0853,80.2016,60,10,7
EESL Chelmsford Club,28.61826041,77.21256986,60,10,5
EESL Chelmsford Club,28.61826041,77.21256986,50,6,6
u00a0EESL Sushma Swaraj Bhawan,28.59583333,77.18055556,50,9,5
EESL Delhi Haat,28.572793,77.208662,30,5,2
EESL Chelmsford Club,28.61826041,77.21256986,30,10,4
EESL Chelmsford Club,28.61826041,77.21256986,30,6,2
EESL Legislative Assembly Goa,15.51047222,73.83722222,30,8,9
ANERT-EESL Ernakulam Kerala,9.977164,76.27777,50,11,0
HAREDA EESL Panchkula,30.695929,76.834874,60,10,1
ANERT-EESL AUTOKAST Kerala,9.63628,76.3352,30,5,2
ANERT-EESL Sangamukham Kerala,8.481159,76.912456,50,6,2
ANERT-EESL Thycaud Kerala,8.4927752,76.9572956,50,9,5
KSEB NEMOM,8.460016017,77.00402472,60,11,9
KSEBL OLAI,8.892952791,76.57878733,60,9,6
KSEBL PALARIVATTOM,10.00552573,76.3050448,60,6,2
KSEBL VIYYUR,10.56052307,76.2172408,50,5,1
KSEBL NALLALAM,11.20838069,75.80848587,60,10,1
KSEBL CHOVVA,11.86893912,75.40316573,60,8,0
MG AHMEDABAD MAKARBA,22.996681,72.498226,30,6,9
MG BENGALURU,12.865032,77.657853,30,9,0
MG GURGAON SECTOR 15,28.462298,77.048472,50,7,7
IOC MADINAGUDA,17.494851,78.336467,30,8,3
HMR MADHAPUR,17.435968,78.40003,30,6,7
MG HYDERABAD JUBILEE HILLS,17.523923,78.430328,50,8,2
HMR BEGUMPET,17.438229,78.457263,50,11,1
IOC BEGUMPET,17.444838,78.466949,30,6,3
MG MOHALI SECTOR 82,30.661356,76.731482,60,8,8
MG DELHI SHIVAJI MARG,28.66196,77.152242,60,5,8
MG DELHI LAJPAT NAGAR,28.564863,77.236743,60,8,0
McDonalds,16.6869187,74.2703805,30,7,4
